,Team1,Team2,Winner,RunMargin,WicketMargin
0,England,South Africa,England,35.163086,6.512712
1,Pakistan,West Indies,Pakistan,77.44225,6.7113743
2,New Zealand,Sri Lanka,New Zealand,55.543716,7.2418585
3,Australia,Afghanistan,Australia,109.96805,4.962456
4,Bangladesh,South Africa,South Africa,75.34051,6.8837214
5,England,Pakistan,England,67.944214,5.750394
6,Afghanistan,Sri Lanka,Sri Lanka,58.61398,5.2909956
7,India,South Africa,India,39.639133,5.6696544
8,Bangladesh,New Zealand,Bangladesh,29.622038,5.2223277
9,Australia,West Indies,Australia,51.57117,6.834074
10,Pakistan,Sri Lanka,Pakistan,47.88354,6.743636
11,England,Bangladesh,England,78.02811,6.9851437
12,Afghanistan,New Zealand,Afghanistan,43.626266,5.9332075
13,Australia,India,Australia,54.80106,4.999729
14,South Africa,West Indies,South Africa,83.54092,6.794338
15,Bangladesh,Sri Lanka,Sri Lanka,57.625633,5.9152384
16,Australia,Pakistan,Australia,52.521107,5.5710773
17,India,New Zealand,India,45.834,6.299072
18,England,West Indies,England,56.46145,7.8545685
19,Australia,Sri Lanka,Australia,51.184803,7.148807
20,Afghanistan,South Africa,South Africa,64.48135,6.7157044
21,India,Pakistan,India,62.604187,5.800562
22,Bangladesh,West Indies,Bangladesh,76.49942,5.857044
23,England,Afghanistan,England,65.380905,5.152906
24,New Zealand,South Africa,South Africa,72.59184,5.4921155
25,Australia,Bangladesh,Australia,104.745926,5.7749553
26,England,Sri Lanka,England,74.87398,8.288624
27,Afghanistan,India,India,68.644585,6.133412
28,New Zealand,West Indies,New Zealand,94.43873,6.2854743
29,Pakistan,South Africa,Pakistan,35.465946,6.4894547
30,Afghanistan,Bangladesh,Afghanistan,82.81313,5.966822
31,England,Australia,England,45.04287,5.404551
32,New Zealand,Pakistan,New Zealand,56.355236,5.3385563
33,India,West Indies,India,62.509,5.8725433
34,South Africa,Sri Lanka,South Africa,70.61176,6.0746202
35,Afghanistan,Pakistan,Pakistan,56.536774,5.4016047
36,Australia,New Zealand,Australia,56.387913,6.0861406
37,England,India,England,50.74493,6.527454
38,Sri Lanka,West Indies,Sri Lanka,32.079025,6.612746
39,Bangladesh,India,India,67.21996,6.770152
40,England,New Zealand,England,56.34577,5.6356206
41,Afghanistan,West Indies,West Indies,72.61824,6.658334
42,Bangladesh,Pakistan,Pakistan,69.60977,5.3234277
43,India,Sri Lanka,India,70.84635,6.476244
44,Australia,South Africa,Australia,45.95856,4.380596
