Team1,Team2
England,South Africa
Pakistan,West Indies
New Zealand,Sri Lanka
Australia,Afghanistan
Bangladesh,South Africa
England,Pakistan
Afghanistan,Sri Lanka
India,South Africa
Bangladesh,New Zealand
Australia,West Indies
Pakistan,Sri Lanka
England,Bangladesh
Afghanistan,New Zealand
Australia,India
South Africa,West Indies
Bangladesh,Sri Lanka
Australia,Pakistan
India,New Zealand
England,West Indies
Australia,Sri Lanka
Afghanistan,South Africa
India,Pakistan
Bangladesh,West Indies
England,Afghanistan
New Zealand,South Africa
Australia,Bangladesh
England,Sri Lanka
Afghanistan,India
New Zealand,West Indies
Pakistan,South Africa
Afghanistan,Bangladesh
England,Australia
New Zealand,Pakistan
India,West Indies
South Africa,Sri Lanka
Afghanistan,Pakistan
Australia,New Zealand
England,India
Sri Lanka,West Indies
Bangladesh,India
England,New Zealand
Afghanistan,West Indies
Bangladesh,Pakistan
India,Sri Lanka
Australia,South Africa
