Winner,MatchID,Team1,Team2,Margin,Year
Sri Lanka,0,Bangladesh,Sri Lanka,7 wickets,2010
Sri Lanka,1,India,Sri Lanka,5 wickets,2010
India,2,Bangladesh,India,6 wickets,2010
Sri Lanka,3,Bangladesh,Sri Lanka,9 wickets,2010
India,4,India,Sri Lanka,8 wickets,2010
India,5,Bangladesh,India,6 wickets,2010
Sri Lanka,6,India,Sri Lanka,4 wickets,2010
Australia,7,Australia,Pakistan,5 wickets,2010
Australia,8,Australia,Pakistan,140 runs,2010
Australia,9,Australia,Pakistan,40 runs,2010
Australia,10,Australia,Pakistan,135 runs,2010
Australia,11,Australia,Pakistan,2 wickets,2010
New Zealand,12,New Zealand,Bangladesh,146 runs,2010
Australia,13,Australia,West Indies,113 runs,2010
New Zealand,14,New Zealand,Bangladesh,5 wickets,2010
Australia,15,Australia,West Indies,8 wickets,2010
New Zealand,16,New Zealand,Bangladesh,3 wickets,2010
Australia,17,Australia,West Indies,50 runs,2010
Australia,18,Australia,West Indies,125 runs,2010
India,19,India,South Africa,1 run,2010
India,20,India,South Africa,153 runs,2010
South Africa,21,India,South Africa,90 runs,2010
England,22,Bangladesh,England,6 wickets,2010
England,23,Bangladesh,England,2 wickets,2010
New Zealand,24,New Zealand,Australia,2 wickets,2010
England,25,Bangladesh,England,45 runs,2010
Australia,26,New Zealand,Australia,12 runs,2010
Australia,27,New Zealand,Australia,6 wickets,2010
Australia,28,New Zealand,Australia,6 wickets,2010
New Zealand,29,New Zealand,Australia,51 runs,2010
South Africa,30,West Indies,South Africa,66 runs,2010
South Africa,31,West Indies,South Africa,17 runs,2010
South Africa,32,West Indies,South Africa,67 runs,2010
India,33,India,Sri Lanka,7 wickets,2010
South Africa,34,West Indies,South Africa,7 wickets,2010
South Africa,35,West Indies,South Africa,1 wicket,2010
Sri Lanka,36,India,Sri Lanka,6 wickets,2010
Sri Lanka,37,Sri Lanka,Pakistan,16 runs,2010
India,38,Bangladesh,India,6 wickets,2010
Sri Lanka,39,Sri Lanka,Bangladesh,126 runs,2010
India,40,India,Pakistan,3 wickets,2010
Pakistan,41,Bangladesh,Pakistan,139 runs,2010
Sri Lanka,42,Sri Lanka,India,7 wickets,2010
England,43,England,Australia,4 wickets,2010
India,44,Sri Lanka,India,81 runs,2010
England,45,England,Australia,4 wickets,2010
England,46,England,Australia,1 wicket,2010
Australia,47,England,Australia,78 runs,2010
Australia,48,England,Australia,42 runs,2010
England,49,England,Bangladesh,6 wickets,2010
Bangladesh,50,England,Bangladesh,5 runs,2010
England,51,England,Bangladesh,144 runs,2010
New Zealand,52,India,New Zealand,200 runs,2010
Sri Lanka,53,Sri Lanka,New Zealand,3 wickets,2010
India,54,Sri Lanka,India,6 wickets,2010
Sri Lanka,55,Sri Lanka,India,8 wickets,2010
India,56,India,New Zealand,105 runs,2010
Sri Lanka,57,Sri Lanka,India,74 runs,2010
England,58,England,Pakistan,24 runs,2010
England,59,England,Pakistan,4 wickets,2010
Pakistan,60,England,Pakistan,23 runs,2010
Pakistan,61,England,Pakistan,38 runs,2010
England,62,England,Pakistan,121 runs,2010
Bangladesh,63,Bangladesh,New Zealand,9 runs,2010
Bangladesh,64,Bangladesh,New Zealand,7 wickets,2010
Bangladesh,65,Bangladesh,New Zealand,9 runs,2010
Bangladesh,66,Bangladesh,New Zealand,3 runs,2010
India,67,India,Australia,5 wickets,2010
South Africa,68,Pakistan,South Africa,8 wickets,2010
Pakistan,69,Pakistan,South Africa,1 wicket,2010
South Africa,70,Pakistan,South Africa,2 runs,2010
Sri Lanka,71,Australia,Sri Lanka,1 wicket,2010
Sri Lanka,72,Australia,Sri Lanka,29 runs,2010
Pakistan,73,Pakistan,South Africa,1 wicket,2010
Australia,74,Australia,Sri Lanka,8 wickets,2010
South Africa,75,Pakistan,South Africa,57 runs,2010
India,76,India,New Zealand,40 runs,2010
India,77,India,New Zealand,8 wickets,2010
India,78,India,New Zealand,9 wickets,2010
India,79,India,New Zealand,5 wickets,2010
India,80,India,New Zealand,8 wickets,2010
South Africa,81,South Africa,India,135 runs,2011
India,82,South Africa,India,1 run,2011
Australia,83,Australia,England,6 wickets,2011
India,84,South Africa,India,2 wickets,2011
Australia,85,Australia,England,46 runs,2011
South Africa,86,South Africa,India,48 runs,2011
New Zealand,87,New Zealand,Pakistan,9 wickets,2011
Australia,88,Australia,England,4 wickets,2011
South Africa,89,South Africa,India,33 runs,2011
England,90,Australia,England,21 runs,2011
Pakistan,91,New Zealand,Pakistan,43 runs,2011
Australia,92,Australia,England,51 runs,2011
Pakistan,93,New Zealand,Pakistan,2 wickets,2011
Australia,94,Australia,England,2 wickets,2011
Pakistan,95,New Zealand,Pakistan,41 runs,2011
Sri Lanka,96,Sri Lanka,West Indies,8 wickets,2011
New Zealand,97,New Zealand,Pakistan,57 runs,2011
Australia,98,Australia,England,57 runs,2011
Sri Lanka,99,Sri Lanka,West Indies,26 runs,2011
India,100,Bangladesh,India,87 runs,2011
South Africa,101,South Africa,West Indies,7 wickets,2011
Australia,102,Australia,New Zealand,7 wickets,2011
Pakistan,103,Sri Lanka,Pakistan,11 runs,2011
West Indies,104,Bangladesh,West Indies,9 wickets,2011
England,105,England,South Africa,6 runs,2011
New Zealand,106,New Zealand,Pakistan,110 runs,2011
Bangladesh,107,Bangladesh,England,2 wickets,2011
South Africa,108,India,South Africa,3 wickets,2011
England,109,England,West Indies,18 runs,2011
Sri Lanka,110,New Zealand,Sri Lanka,112 runs,2011
South Africa,111,Bangladesh,South Africa,206 runs,2011
Pakistan,112,Australia,Pakistan,4 wickets,2011
India,113,India,West Indies,80 runs,2011
