MatchID,Team1,Team2,Winner,Margin,Location,Year
1,Bangladesh,Sri Lanka,Sri Lanka,7 wickets,Dhaka,2010
2,India,Sri Lanka,Sri Lanka,5 wickets,Dhaka,2010
3,Bangladesh,India,India,6 wickets,Dhaka,2010
4,Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,2010
5,India,Sri Lanka,India,8 wickets,Dhaka,2010
6,Bangladesh,India,India,6 wickets,Dhaka,2010
7,India,Sri Lanka,Sri Lanka,4 wickets,Dhaka,2010
8,Australia,Pakistan,Australia,5 wickets,Brisbane,2010
9,Australia,Pakistan,Australia,140 runs,Sydney,2010
10,Australia,Pakistan,Australia,40 runs,Adelaide,2010
11,Australia,Pakistan,Australia,135 runs,Perth,2010
12,Australia,Pakistan,Australia,2 wickets,Perth,2010
13,New Zealand,Bangladesh,New Zealand,146 runs,Napier,2010
14,Australia,West Indies,Australia,113 runs,Melbourne,2010
15,New Zealand,Bangladesh,New Zealand,5 wickets,Dunedin,2010
16,Australia,West Indies,Australia,8 wickets,Adelaide,2010
17,New Zealand,Bangladesh,New Zealand,3 wickets,Christchurch,2010
18,Australia,West Indies,no result,,Sydney,2010
19,Australia,West Indies,Australia,50 runs,Brisbane,2010
20,Kenya,Netherlands,Kenya,6 wickets,Nairobi (Gym),2010
21,Afghanistan,Canada,Afghanistan,1 run,Sharjah,2010
22,Kenya,Netherlands,Netherlands,80 runs,Nairobi (Gym),2010
23,Afghanistan,Canada,Canada,4 wickets,Sharjah,2010
24,Australia,West Indies,Australia,125 runs,Melbourne,2010
25,India,South Africa,India,1 run,Jaipur,2010
26,India,South Africa,India,153 runs,Gwalior,2010
27,India,South Africa,South Africa,90 runs,Ahmedabad,2010
28,Bangladesh,England,England,6 wickets,Dhaka,2010
29,Bangladesh,England,England,2 wickets,Dhaka,2010
30,New Zealand,Australia,New Zealand,2 wickets,Napier,2010
31,West Indies,Zimbabwe,Zimbabwe,2 runs,Providence,2010
32,Bangladesh,England,England,45 runs,Chittagong,2010
33,New Zealand,Australia,Australia,12 runs,Auckland,2010
34,West Indies,Zimbabwe,West Indies,4 wickets,Providence,2010
35,New Zealand,Australia,Australia,6 wickets,Hamilton,2010
36,West Indies,Zimbabwe,West Indies,141 runs,Kingstown,2010
37,New Zealand,Australia,Australia,6 wickets,Auckland,2010
38,West Indies,Zimbabwe,West Indies,4 wickets,Kingstown,2010
39,New Zealand,Australia,New Zealand,51 runs,Wellington,2010
40,West Indies,Zimbabwe,West Indies,4 wickets,Kingstown,2010
41,West Indies,Canada,West Indies,208 runs,Kingston,2010
42,West Indies,Ireland,West Indies,6 wickets,Kingston,2010
43,West Indies,South Africa,South Africa,66 runs,North Sound,2010
44,West Indies,South Africa,South Africa,17 runs,North Sound,2010
45,Zimbabwe,India,Zimbabwe,6 wickets,Bulawayo,2010
46,West Indies,South Africa,South Africa,67 runs,Roseau,2010
47,India,Sri Lanka,India,7 wickets,Bulawayo,2010
48,West Indies,South Africa,South Africa,7 wickets,Roseau,2010
49,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo,2010
50,Zimbabwe,India,Zimbabwe,7 wickets,Harare,2010
51,West Indies,South Africa,South Africa,1 wicket,Port of Spain,2010
52,India,Sri Lanka,Sri Lanka,6 wickets,Harare,2010
53,Zimbabwe,Sri Lanka,Zimbabwe,8 wickets,Harare,2010
54,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Harare,2010
55,Sri Lanka,Pakistan,Sri Lanka,16 runs,Dambulla,2010
56,Netherlands,Scotland,Netherlands,6 wickets,Rotterdam,2010
57,Bangladesh,India,India,6 wickets,Dambulla,2010
58,Ireland,Australia,Australia,39 runs,Dublin,2010
59,Sri Lanka,Bangladesh,Sri Lanka,126 runs,Dambulla,2010
60,India,Pakistan,India,3 wickets,Dambulla,2010
61,Scotland,England,England,7 wickets,Edinburgh,2010
62,Bangladesh,Pakistan,Pakistan,139 runs,Dambulla,2010
63,Sri Lanka,India,Sri Lanka,7 wickets,Dambulla,2010
64,England,Australia,England,4 wickets,Southampton,2010
65,Sri Lanka,India,India,81 runs,Dambulla,2010
66,England,Australia,England,4 wickets,Cardiff,2010
67,England,Australia,England,1 wicket,Manchester,2010
68,England,Australia,Australia,78 runs,The Oval,2010
69,Afghanistan,Canada,Afghanistan,6 wickets,The Hague,2010
70,Ireland,Kenya,Ireland,7 wickets,Rotterdam,2010
71,Netherlands,Scotland,Scotland,1 wicket,Amstelveen,2010
72,Afghanistan,Ireland,Ireland,39 runs,Rotterdam,2010
73,Canada,Scotland,Scotland,69 runs,Amstelveen,2010
74,Netherlands,Kenya,Netherlands,117 runs,The Hague,2010
75,England,Australia,Australia,42 runs,Lord's,2010
