,Winner,MatchID,Team1,Team2,Year,WinRateVsTeam,T1WinRate,T2WinRate,MatchCt2,TotInnings2,NotOuts2,MaxInnScore2,BatAvg2,BatStrRate2,Stumpings2,Run/Inning2,BallsFaced/Inning2,Hundreds2,Fifties2,4/Inning2,6/Inning2,Catch/Inning2,BowlInns2,BowlAvg2,EconRate2,BowlStrRate2,BallBowl/Inning2,RunConc/Inning2,WickTake/Inning2,MatchCt1,TotInnings1,NotOuts1,MaxInnScore1,BatAvg1,BatStrRate1,Stumpings1,Run/Inning1,BallsFaced/Inning1,Hundreds1,Fifties1,4/Inning1,6/Inning1,Catch/Inning1,BowlInns1,BowlAvg1,EconRate1,BowlStrRate1,BallBowl/Inning1,RunConc/Inning1,WickTake/Inning1
0,0,0,Sri Lanka,Bangladesh,2010,0.5,0.5,0.5,1343,82.18181818,12.09090909,102.3636364,31.04181818,81.05181818,4.090909091,286.6952818,355.42432460000003,0.247251626,1.731381552,27.16384747,4.703702853,4.966758145,89.75,33.1775,5.1075,39.55,377.2966166,321.1411027,10.68003244,1106,58.81818182,8.909090909,94.90909091,28.14545455,88.93818182,0.181818182,259.5534898,296.3754849,0.12599057800000002,1.5682797130000001,23.95182954,5.356120932,3.922753087,72.8,44.218999999999994,5.53,47.34,378.5844006,351.5770514,8.984971429
1,0,1,Sri Lanka,India,2010,0.5,1.0,0.5,1573,110.0,23.1,128.8,40.327,91.667,12.7,324.72040510000005,356.84808250000003,0.584724017,1.519687664,29.455556,6.409462448999999,6.5992636860000005,59.11111111,37.17555556,5.11,42.77777778,411.3726391,347.58216219999997,11.74699195,1106,58.81818182,8.909090909,94.90909091,28.14545455,88.93818182,0.181818182,259.5534898,296.3754849,0.12599057800000002,1.5682797130000001,23.95182954,5.356120932,3.922753087,72.8,44.218999999999994,5.53,47.34,378.5844006,351.5770514,8.984971429
2,0,2,India,Bangladesh,2010,0.5,0.0,0.0,1343,82.18181818,12.09090909,102.3636364,31.04181818,81.05181818,4.090909091,286.6952818,355.42432460000003,0.247251626,1.731381552,27.16384747,4.703702853,4.966758145,89.75,33.1775,5.1075,39.55,377.2966166,321.1411027,10.68003244,1573,110.0,23.1,128.8,40.327,91.667,12.7,324.72040510000005,356.84808250000003,0.584724017,1.519687664,29.455556,6.409462448999999,6.5992636860000005,59.11111111,37.17555556,5.11,42.77777778,411.3726391,347.58216219999997,11.74699195
3,0,3,Sri Lanka,Bangladesh,2010,1.0,1.0,0.0,1343,82.18181818,12.09090909,102.3636364,31.04181818,81.05181818,4.090909091,286.6952818,355.42432460000003,0.247251626,1.731381552,27.16384747,4.703702853,4.966758145,89.75,33.1775,5.1075,39.55,377.2966166,321.1411027,10.68003244,1106,58.81818182,8.909090909,94.90909091,28.14545455,88.93818182,0.181818182,259.5534898,296.3754849,0.12599057800000002,1.5682797130000001,23.95182954,5.356120932,3.922753087,72.8,44.218999999999994,5.53,47.34,378.5844006,351.5770514,8.984971429
4,1,4,Sri Lanka,India,2010,1.0,1.0,0.5,1573,110.0,23.1,128.8,40.327,91.667,12.7,324.72040510000005,356.84808250000003,0.584724017,1.519687664,29.455556,6.409462448999999,6.5992636860000005,59.11111111,37.17555556,5.11,42.77777778,411.3726391,347.58216219999997,11.74699195,1106,58.81818182,8.909090909,94.90909091,28.14545455,88.93818182,0.181818182,259.5534898,296.3754849,0.12599057800000002,1.5682797130000001,23.95182954,5.356120932,3.922753087,72.8,44.218999999999994,5.53,47.34,378.5844006,351.5770514,8.984971429
5,0,5,India,Bangladesh,2010,1.0,0.67,0.0,1343,82.18181818,12.09090909,102.3636364,31.04181818,81.05181818,4.090909091,286.6952818,355.42432460000003,0.247251626,1.731381552,27.16384747,4.703702853,4.966758145,89.75,33.1775,5.1075,39.55,377.2966166,321.1411027,10.68003244,1573,110.0,23.1,128.8,40.327,91.667,12.7,324.72040510000005,356.84808250000003,0.584724017,1.519687664,29.455556,6.409462448999999,6.5992636860000005,59.11111111,37.17555556,5.11,42.77777778,411.3726391,347.58216219999997,11.74699195
6,0,6,Sri Lanka,India,2010,0.5,0.75,0.75,1573,110.0,23.1,128.8,40.327,91.667,12.7,324.72040510000005,356.84808250000003,0.584724017,1.519687664,29.455556,6.409462448999999,6.5992636860000005,59.11111111,37.17555556,5.11,42.77777778,411.3726391,347.58216219999997,11.74699195,1106,58.81818182,8.909090909,94.90909091,28.14545455,88.93818182,0.181818182,259.5534898,296.3754849,0.12599057800000002,1.5682797130000001,23.95182954,5.356120932,3.922753087,72.8,44.218999999999994,5.53,47.34,378.5844006,351.5770514,8.984971429
7,1,7,Pakistan,Australia,2010,0.5,0.5,0.5,814,67.625,5.25,131.75,39.115,91.815,0.375,283.6594256,315.17229610000004,0.553567134,1.5766912730000002,26.57881538,5.116815544,4.135243238,39.375,33.33375,5.34875,37.45,402.16451960000006,358.05954160000005,11.63077312,1012,69.90909091,10.81818182,114.6363636,39.55,85.58909091,2.090909091,357.77045860000004,419.1823957,0.977676243,1.7673766830000002,30.65695002,4.431473784,5.589404876000001,51.375,35.865,5.32375,40.6,375.8177918,335.6908983,10.00153228
8,1,8,Pakistan,Australia,2010,0.0,0.0,1.0,814,67.625,5.25,131.75,39.115,91.815,0.375,283.6594256,315.17229610000004,0.553567134,1.5766912730000002,26.57881538,5.116815544,4.135243238,39.375,33.33375,5.34875,37.45,402.16451960000006,358.05954160000005,11.63077312,1012,69.90909091,10.81818182,114.6363636,39.55,85.58909091,2.090909091,357.77045860000004,419.1823957,0.977676243,1.7673766830000002,30.65695002,4.431473784,5.589404876000001,51.375,35.865,5.32375,40.6,375.8177918,335.6908983,10.00153228
9,1,9,Pakistan,Australia,2010,0.0,0.0,1.0,814,67.625,5.25,131.75,39.115,91.815,0.375,283.6594256,315.17229610000004,0.553567134,1.5766912730000002,26.57881538,5.116815544,4.135243238,39.375,33.33375,5.34875,37.45,402.16451960000006,358.05954160000005,11.63077312,1012,69.90909091,10.81818182,114.6363636,39.55,85.58909091,2.090909091,357.77045860000004,419.1823957,0.977676243,1.7673766830000002,30.65695002,4.431473784,5.589404876000001,51.375,35.865,5.32375,40.6,375.8177918,335.6908983,10.00153228
