,Matches played,Innings batted,Not outs,Highest inns score,Batting average,Batting strike rate,Stumpings made,Runs scored/Innings,Balls faced/Innings,Hundreds/Innings,Fifties/Innings,Boundary fours/Innings,Boundary sixes/Innings,Catches/Innings,Innings bowled,Bowling average,Economy rate,Bowling strike rate,10 wickets in match,Balls bowled/Innings,Runs conceded/Innings,Wickets taken/Innings,4 wickets innings/Innings,5 wickets innings/Innings
India,1573.0,110.0,23.1,128.8,40.327,91.667,12.7,324.7204051458719,356.8480825398374,0.5847240168882946,1.519687664120851,29.455555999238687,6.409462449033999,6.599263685719793,59.111111111111114,37.175555555555555,5.11,42.77777777777778,0.0,411.37263912482814,347.58216221822215,11.746991948144021,0.3751101433129083,0.11063579277864992
Pakistan,1012.0,69.9090909090909,10.818181818181818,114.63636363636364,39.55,85.58909090909088,2.090909090909091,357.7704585868485,419.1823956746395,0.9776762426904742,1.7673766829838937,30.656950018145466,4.431473783964297,5.589404876169581,51.375,35.865,5.32375,40.6,0.0,375.8177917541695,335.6908983170033,10.001532279722124,0.40146884931154747,0.13150655491081023
England,1234.0,75.0,11.090909090909092,114.63636363636364,34.09818181818182,91.85818181818182,2.8181818181818183,324.46461141883924,348.95982705629154,0.6466302389190166,1.6770904942214384,31.030436977835045,7.153609706584216,5.975101275970264,61.5,38.58625,5.930000000000001,39.275000000000006,0.0,366.6842395512465,358.623145062196,9.681132909155178,0.3875570199801377,0.08709728323991314
Afghanistan,848.0,59.666666666666664,5.555555555555555,104.44444444444444,29.146666666666672,76.08444444444443,2.7777777777777777,238.3676262609985,320.2495312889286,0.19542241271455613,1.4762086608415075,20.35649939811767,5.242254475805308,3.3570031620067615,50.44444444444444,27.538888888888888,4.7555555555555555,34.37777777777777,0.0,390.0914768778317,299.8777845921868,12.169411015587258,0.36563449061508063,0.18731060606060607
Australia,814.0,67.625,5.25,131.75,39.115,91.815,0.375,283.65942563129465,315.1722961113066,0.5535671336975386,1.5766912732747043,26.57881538233793,5.116815544125892,4.135243238488222,39.375,33.33375,5.348750000000001,37.449999999999996,0.0,402.16451955451953,358.0595415695416,11.630773115773117,0.4329053354053354,0.0875
Bangladesh,1343.0,82.18181818181819,12.090909090909092,102.36363636363636,31.04181818181818,81.05181818181819,4.090909090909091,286.6952817799289,355.4243246397458,0.2472516260128999,1.7313815521727052,27.163847472825736,4.703702852662606,4.966758145237782,89.75,33.1775,5.107500000000001,39.55,0.0,377.29661663872196,321.1411026595237,10.680032443190338,0.25190637822216766,0.5871058765795608
New Zealand,1157.0,86.22222222222223,13.0,125.11111111111111,35.519999999999996,92.47222222222223,0.7777777777777778,264.3940013371974,295.0614978347956,0.3538884136070834,1.455966352176918,23.527135868363185,5.5281326809377,4.456427531737535,55.25,33.105000000000004,5.42625,36.800000000000004,0.0,378.7612402686773,341.11830556033493,10.906928198917502,0.35382773947440316,0.1891882924832177
South Africa,1143.0,101.71428571428571,15.857142857142858,138.71428571428572,48.00142857142857,88.97,1.1428571428571428,258.1478864614366,293.82084187965984,0.44593466271811605,1.5430918491196546,23.53281247044498,3.8596804018694533,4.598363513934206,57.111111111111114,28.64,5.0777777777777775,33.611111111111114,0.0,413.5279987721112,348.3160856606162,13.122426097531886,0.4439056938164301,0.07082816377171217
Sri Lanka,1106.0,58.81818181818182,8.909090909090908,94.9090909090909,28.14545454545454,88.93818181818182,0.18181818181818182,259.55348978776277,296.37548489175913,0.1259905781280177,1.5682797127272847,23.951829536317234,5.356120931572327,3.922753087391034,72.8,44.21900000000001,5.53,47.33999999999999,0.0,378.58440055767227,351.5770513819575,8.984971429046777,0.12636022358078725,0.07200713332788805
West Indies,878.0,71.44444444444444,7.444444444444445,117.0,29.236666666666665,81.80222222222223,1.0,233.7459017873873,270.22873252079256,0.46663210287374063,0.9613405824468915,19.79266699776223,7.141777602290082,4.72240437743287,55.1,50.864999999999995,5.6930000000000005,53.279999999999994,0.0,437.0730411375401,413.7886357956173,11.591789612879484,0.2669601254788384,0.2965290086257828
