,England,South Africa,India,Australia,New Zealand,Bangladesh,Pakistan,Sri Lanka,Afghanistan,West Indies
England,-,57.14,39.13,40.00,57.14,66.67,73.68,43.48,100.00,92.31
South Africa,42.86,-,52.63,55.56,61.11,71.43,57.14,65.00,-,80.00
India,60.87,47.37,-,47.83,57.89,76.92,63.64,69.44,100.00,72.00
Australia,60.00,44.44,52.17,-,56.25,100.00,83.33,53.85,100.00,82.35
New Zealand,42.86,38.89,42.11,43.75,-,47.06,66.67,50.00,100.00,40.00
Bangladesh,33.33,28.57,23.08,0.00,52.94,-,30.00,23.08,60.00,33.33
Pakistan,26.32,42.86,36.36,16.67,33.33,70.00,-,60.61,100.00,66.67
Sri Lanka,56.52,35.00,30.56,46.15,50.00,76.92,39.39,-,100.00,77.78
Afghanistan,0.00,-,0.00,0.00,0.00,40.00,0.00,0.00,-,50.00
West Indies,7.69,20.00,28.00,17.65,60.00,66.67,33.33,22.22,50.00,-
