Innings,Bat Team,Total Runs*,Run rate*,Wickets*,Total balls*,VenueAvg,TotalRunsInning,FirstInningScore
0,1,Sri Lanka,1,6,0,1,283.8789376,265,-1
1,1,Sri Lanka,3,9,0,2,283.8789376,265,-1
2,1,Sri Lanka,3,6,0,3,283.8789376,265,-1
3,1,Sri Lanka,4,6,0,4,283.8789376,265,-1
4,1,Sri Lanka,4,4.8,0,5,283.8789376,265,-1
5,1,Sri Lanka,4,4,0,6,283.8789376,265,-1
6,1,Sri Lanka,4,3.43,0,7,283.8789376,265,-1
7,1,Sri Lanka,5,4.29,0,7,283.8789376,265,-1
8,1,Sri Lanka,5,3.75,0,8,283.8789376,265,-1
9,1,Sri Lanka,7,4.67,0,9,283.8789376,265,-1
10,1,Sri Lanka,7,4.2,0,10,283.8789376,265,-1
11,1,Sri Lanka,7,3.82,0,11,283.8789376,265,-1
12,1,Sri Lanka,7,3.5,0,12,283.8789376,265,-1
13,1,Sri Lanka,7,3.23,0,13,283.8789376,265,-1
14,1,Sri Lanka,7,3,0,14,283.8789376,265,-1
15,1,Sri Lanka,8,3.2,0,15,283.8789376,265,-1
16,1,Sri Lanka,13,4.88,0,16,283.8789376,265,-1
17,1,Sri Lanka,13,4.59,0,17,283.8789376,265,-1
18,1,Sri Lanka,13,4.33,0,18,283.8789376,265,-1
19,1,Sri Lanka,13,4.11,1,19,283.8789376,265,-1
20,1,Sri Lanka,13,4.11,1,19,283.8789376,265,-1
21,1,Sri Lanka,14,4.2,1,20,283.8789376,265,-1
22,1,Sri Lanka,15,4.29,1,21,283.8789376,265,-1
23,1,Sri Lanka,15,4.09,1,22,283.8789376,265,-1
24,1,Sri Lanka,19,4.96,1,23,283.8789376,265,-1
25,1,Sri Lanka,19,4.75,1,24,283.8789376,265,-1
26,1,Sri Lanka,19,4.56,1,25,283.8789376,265,-1
27,1,Sri Lanka,19,4.38,1,26,283.8789376,265,-1
28,1,Sri Lanka,19,4.22,2,27,283.8789376,265,-1
29,1,Sri Lanka,23,4.93,2,28,283.8789376,265,-1
30,1,Sri Lanka,23,4.76,2,29,283.8789376,265,-1
31,1,Sri Lanka,23,4.6,2,30,283.8789376,265,-1
32,1,Sri Lanka,23,4.45,2,31,283.8789376,265,-1
33,1,Sri Lanka,27,5.06,2,32,283.8789376,265,-1
34,1,Sri Lanka,27,4.91,2,33,283.8789376,265,-1
35,1,Sri Lanka,27,4.76,2,34,283.8789376,265,-1
36,1,Sri Lanka,27,4.63,2,35,283.8789376,265,-1
37,1,Sri Lanka,27,4.5,2,36,283.8789376,265,-1
38,1,Sri Lanka,27,4.38,2,37,283.8789376,265,-1
39,1,Sri Lanka,27,4.26,2,38,283.8789376,265,-1
40,1,Sri Lanka,27,4.15,2,39,283.8789376,265,-1
41,1,Sri Lanka,29,4.35,2,40,283.8789376,265,-1
42,1,Sri Lanka,29,4.24,2,41,283.8789376,265,-1
43,1,Sri Lanka,29,4.14,2,42,283.8789376,265,-1
44,1,Sri Lanka,33,4.6,2,43,283.8789376,265,-1
45,1,Sri Lanka,33,4.5,2,44,283.8789376,265,-1
46,1,Sri Lanka,33,4.4,2,45,283.8789376,265,-1
47,1,Sri Lanka,35,4.57,2,46,283.8789376,265,-1
48,1,Sri Lanka,35,4.47,2,47,283.8789376,265,-1
49,1,Sri Lanka,35,4.38,2,48,283.8789376,265,-1
50,1,Sri Lanka,35,4.29,2,49,283.8789376,265,-1
51,1,Sri Lanka,36,4.32,2,50,283.8789376,265,-1
52,1,Sri Lanka,36,4.24,2,51,283.8789376,265,-1
53,1,Sri Lanka,37,4.27,2,52,283.8789376,265,-1
54,1,Sri Lanka,41,4.64,2,53,283.8789376,265,-1
55,1,Sri Lanka,41,4.56,2,54,283.8789376,265,-1
56,1,Sri Lanka,41,4.47,2,55,283.8789376,265,-1
57,1,Sri Lanka,41,4.39,2,56,283.8789376,265,-1
58,1,Sri Lanka,41,4.32,2,57,283.8789376,265,-1
59,1,Sri Lanka,41,4.24,2,58,283.8789376,265,-1
