,England,South Africa,India,Australia,New Zealand,Bangladesh,Pakistan,Sri Lanka,Afghanistan,West Indies
England,50,57.14,39.13,40,57.14,66.67,73.68,43.48,100,92.31
South Africa,42.86,50,52.63,55.56,61.11,71.43,57.14,65,50,80
India,60.87,47.37,50,47.83,57.89,76.92,63.64,69.44,100,72
Australia,60,44.44,52.17,50,56.25,100,83.33,53.85,100,82.35
New Zealand,42.86,38.89,42.11,43.75,50,47.06,66.67,50,100,40
Bangladesh,33.33,28.57,23.08,0,52.94,50,30,23.08,60,33.33
Pakistan,26.32,42.86,36.36,16.67,33.33,70,50,60.61,100,66.67
Sri Lanka,56.52,35,30.56,46.15,50,76.92,39.39,50,100,77.78
Afghanistan,0,50,0,0,0,40,0,0,50,50
West Indies,7.69,20,28,17.65,60,66.67,33.33,22.22,50,50
